,name,product_url,query_url,review_url,rating,review_title,review
0,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6,https://flipkart.dvishal485.workers.dev/product/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6,https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/product-reviews/itm7acae55b999e6,5,Perfect product!,Nice camera
1,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6,https://flipkart.dvishal485.workers.dev/product/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6,https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/product-reviews/itm7acae55b999e6,4,Good choice,Nice
2,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6,https://flipkart.dvishal485.workers.dev/product/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6,https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/product-reviews/itm7acae55b999e6,5,Terrific,Thanks one plus
3,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6,https://flipkart.dvishal485.workers.dev/product/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6,https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/product-reviews/itm7acae55b999e6,5,Perfect product!,Nice phone
4,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6,https://flipkart.dvishal485.workers.dev/product/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6,https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/product-reviews/itm7acae55b999e6,3,Nice,Performance is better but night camera photos   is not good
5,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6,https://flipkart.dvishal485.workers.dev/product/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6,https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/product-reviews/itm7acae55b999e6,5,Mind-blowing purchase,"Best camera phone in market right now,  battery performance is awesomeReview after using 1month"
6,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6,https://flipkart.dvishal485.workers.dev/product/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6,https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/product-reviews/itm7acae55b999e6,5,Highly recommended,EXCELLENT
7,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6,https://flipkart.dvishal485.workers.dev/product/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6,https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/product-reviews/itm7acae55b999e6,4,Good choice,I using this Phone from last 2 months battery comes down bit fast but the charged very fast overall good 👍
8,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6,https://flipkart.dvishal485.workers.dev/product/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6,https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/product-reviews/itm7acae55b999e6,5,Just wow!,Nice 😀
9,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6,https://flipkart.dvishal485.workers.dev/product/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6,https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/product-reviews/itm7acae55b999e6,5,Worth every penny,Awesome camera
